anio,semestre,periodo,trabajo_de,grupo_rol,dedicacion,sal_bruto,log_sal,sueldo_dolarizado,seniority,experiencia,antiguedad_empresa,antiguedad_puesto,gente_a_cargo,gente_a_cargo_grupo,contrato,modalidad,tam_empresa,genero_simple,edad,nivel_estudios,region,uso_ia
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,100865,11.52153826806845,NA,NA,11,6,6,0,Sin equipo,Staff,NA,NA,Hombre,32,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,64000,11.06663836234181,NA,NA,14,2,2,0,Sin equipo,Staff,NA,NA,Hombre,34,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,31000,10.341742483467284,NA,NA,0,0,0,0,Sin equipo,Staff,NA,NA,Hombre,26,Terciario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,40000,10.596634733096073,NA,NA,1,1,1,0,Sin equipo,Staff,NA,NA,Hombre,20,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,66040,11.098015898034065,NA,NA,10,4,4,0,Sin equipo,Staff,NA,NA,Hombre,40,Terciario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,90000,11.407564949312402,NA,NA,15,2,2,0,Sin equipo,Staff,NA,NA,Hombre,35,Terciario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,65000,11.082142548877775,NA,NA,22,0,0,0,Sin equipo,Staff,NA,NA,Hombre,42,Universitario,CABA,NA
2019,1,2019.1,Infosec,Governance / Security,NA,102000,11.532728092266408,NA,NA,20,0,5,12,Equipo grande,Staff,NA,NA,Hombre,42,Universitario,CABA,NA
2019,1,2019.1,Data Scientist,Data Science / AI,NA,30000,10.308952660644293,NA,NA,0,0,0,0,Sin equipo,Otro,NA,NA,Hombre,22,Universitario,CABA,NA
2019,1,2019.1,Infosec,Governance / Security,NA,35000,10.46310334047155,NA,NA,5,2,2,2,Equipo pequeño,Staff,NA,NA,Mujer,36,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,78200,11.267024926533402,NA,NA,3,3,1,0,Sin equipo,Staff,NA,NA,Hombre,26,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,45155,10.7178562946849,NA,NA,12,11,10,7,Equipo mediano,Staff,NA,NA,Hombre,32,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,30000,10.308952660644293,NA,NA,12,0,0,0,Sin equipo,Freelance,NA,NA,Hombre,32,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,48000,10.778956289890028,NA,NA,4,0,3,0,Sin equipo,Staff,NA,NA,Hombre,23,Terciario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,160000,11.982929094215963,NA,NA,8,0,0,0,Sin equipo,Contractor,NA,NA,Hombre,25,Secundario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,140000,11.84939770159144,NA,NA,15,0,0,0,Sin equipo,Contractor,NA,NA,Hombre,34,Universitario,CABA,NA
2019,1,2019.1,Infosec,Governance / Security,NA,50000,10.819778284410283,NA,NA,11,4,4,0,Sin equipo,Freelance,NA,NA,Mujer,37,Terciario,CABA,NA
2019,1,2019.1,Infosec,Governance / Security,NA,55000,10.915088464214607,NA,NA,13,1,1,0,Sin equipo,Staff,NA,NA,Hombre,33,Terciario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,32000,10.373491181781864,NA,NA,35,3,3,0,Sin equipo,Staff,NA,NA,Hombre,55,Universitario,CABA,NA
2019,1,2019.1,BI Analyst / Data Analyst,Data Science / AI,NA,63800,11.06350846933288,NA,NA,11,0,0,0,Sin equipo,Staff,NA,NA,Mujer,32,Posgrado/Especialización,CABA,NA
2019,1,2019.1,Business Analyst,Analytics / Automation,NA,86000,11.362102575235644,NA,NA,15,5,8,10,Equipo mediano,Staff,NA,NA,Hombre,40,Terciario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,110000,11.608235644774552,NA,NA,15,0,0,0,Sin equipo,Staff,NA,NA,Hombre,41,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,146000,11.891361900690473,NA,NA,18,1,1,0,Sin equipo,Staff,NA,NA,Hombre,39,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,54800,10.911445472936107,NA,NA,10,4,4,0,Sin equipo,Staff,NA,NA,Hombre,28,Secundario,CABA,NA
2019,1,2019.1,Infosec,Governance / Security,NA,27000,10.203592144986466,NA,NA,0,0,0,0,Sin equipo,Staff,NA,NA,Hombre,27,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,60000,11.002099841204238,NA,NA,18,18,0,4,Equipo pequeño,Staff,NA,NA,Hombre,38,Terciario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,45000,10.714417768752456,NA,NA,12,1,10,0,Sin equipo,Staff,NA,NA,Hombre,41,Universitario,CABA,NA
2019,1,2019.1,Business Analyst,Analytics / Automation,NA,25000,10.126631103850338,NA,NA,4,0,0,0,Sin equipo,Staff,NA,NA,Hombre,31,Terciario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,80000,11.289781913656018,NA,NA,11,3,1,0,Sin equipo,Staff,NA,NA,Hombre,29,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,150000,11.918390573078392,NA,NA,12,3,2,2,Equipo pequeño,Staff,NA,NA,Hombre,35,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,78000,11.26446410567173,NA,NA,10,2,2,0,Sin equipo,Staff,NA,NA,Hombre,32,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,40000,10.596634733096073,NA,NA,9,8,8,1,Equipo pequeño,Staff,NA,NA,Hombre,37,Terciario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,63000,11.05089000537367,NA,NA,15,14,6,0,Sin equipo,Staff,NA,NA,Hombre,34,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,180000,12.100712129872347,NA,NA,10,1,1,0,Sin equipo,Contractor,NA,NA,Hombre,29,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,52000,10.858998997563564,NA,NA,8,5,4,0,Sin equipo,Staff,NA,NA,Hombre,33,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,158400,11.972878758362462,NA,NA,10,1.5,1.5,0,Sin equipo,Contractor,NA,NA,Hombre,35,Universitario,CABA,NA
2019,1,2019.1,BI Analyst / Data Analyst,Data Science / AI,NA,70000,11.156250521031495,NA,NA,3,1,3,0,Sin equipo,Staff,NA,NA,Hombre,25,Terciario,CABA,NA
2019,1,2019.1,BI Analyst / Data Analyst,Data Science / AI,NA,38000,10.545341438708522,NA,NA,22,10,5,5,Equipo mediano,Staff,NA,NA,Hombre,38,Universitario,CABA,NA
2019,1,2019.1,BI Analyst / Data Analyst,Data Science / AI,NA,31500,10.357742824813725,NA,NA,5,1,1,0,Sin equipo,Staff,NA,NA,Mujer,26,Posgrado/Especialización,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,58800,10.981897133886719,NA,NA,15,0,10,0,Sin equipo,Staff,NA,NA,Hombre,39,Terciario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,92000,11.429543856031177,NA,NA,11,1,1,1,Equipo pequeño,Staff,NA,NA,Hombre,31,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,25486,10.145884560772224,NA,NA,1,1,1,0,Sin equipo,Otro,NA,NA,Hombre,22,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,44000,10.691944912900398,NA,NA,20,10,9,5,Equipo mediano,Staff,NA,NA,Hombre,41,Terciario,CABA,NA
2019,1,2019.1,Infosec,Governance / Security,NA,54000,10.896739325546411,NA,NA,7,2,2,0,Sin equipo,Staff,NA,NA,Hombre,47,Terciario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,135000,11.813030057420567,NA,NA,9,0,0,0,Sin equipo,Staff,NA,NA,Hombre,32,Terciario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,68000,11.127262984158243,NA,NA,11,2,1,2,Equipo pequeño,Staff,NA,NA,Hombre,34,Universitario,CABA,NA
2019,1,2019.1,Infosec,Governance / Security,NA,73.52799999999999,4.297666286055808,NA,NA,15,7,7,0,Sin equipo,Staff,NA,NA,Hombre,38,Universitario,CABA,NA
2019,1,2019.1,Business Analyst,Analytics / Automation,NA,65000,11.082142548877775,NA,NA,10,5,5,0,Sin equipo,Staff,NA,NA,Hombre,34,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,43600,10.682812429337126,NA,NA,10,3,3,0,Sin equipo,Staff,NA,NA,Hombre,36,Universitario,CABA,NA
2019,1,2019.1,BI Analyst / Data Analyst,Data Science / AI,NA,48000,10.778956289890028,NA,NA,10,0,0,0,Sin equipo,Staff,NA,NA,Hombre,30,Terciario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,44000,10.691944912900398,NA,NA,12,6,6,0,Sin equipo,Freelance,NA,NA,Hombre,31,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,42000,10.645424897265505,NA,NA,11,0,0,0,Sin equipo,Staff,NA,NA,Hombre,29,Terciario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,46000,10.736396675471232,NA,NA,15,5,5,0,Sin equipo,Staff,NA,NA,Hombre,41,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,71000,11.170435156023453,NA,NA,14,1,1,0,Sin equipo,Staff,NA,NA,Hombre,32,Terciario,CABA,NA
2019,1,2019.1,Business Analyst,Analytics / Automation,NA,20000,9.903487552536127,NA,NA,0,0,0,0,Sin equipo,Staff,NA,NA,Hombre,25,Terciario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,59000,10.985292722887856,NA,NA,8,1,5,0,Sin equipo,Staff,NA,NA,Hombre,31,Terciario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,85000,11.350406535472453,NA,NA,6,1,1,0,Sin equipo,Staff,NA,NA,Hombre,28,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,70000,11.156250521031495,NA,NA,6,3,3,2,Equipo pequeño,Staff,NA,NA,Hombre,24,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,69500,11.149082031552883,NA,NA,15,5,5,0,Sin equipo,Staff,NA,NA,Hombre,39,Universitario,CABA,NA
2019,1,2019.1,BI Analyst / Data Analyst,Data Science / AI,NA,28200,10.247077256926206,NA,NA,1,1,1,0,Sin equipo,Staff,NA,NA,Hombre,27,Universitario,CABA,NA
2019,1,2019.1,DBA,Data Platform / MLOps,NA,34880,10.459668878022915,NA,NA,8,6,8,0,Sin equipo,Staff,NA,NA,Hombre,31,Secundario,CABA,NA
2019,1,2019.1,Business Analyst,Analytics / Automation,NA,70000,11.156250521031495,NA,NA,12,5,2,0,Sin equipo,Tercerizado,NA,NA,Hombre,31,Universitario,CABA,NA
2019,1,2019.1,Business Analyst,Analytics / Automation,NA,67000,11.112447898373103,NA,NA,10,5,5,0,Sin equipo,Staff,NA,NA,Hombre,33,Terciario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,82000,11.314474526246391,NA,NA,12,12,6,0,Sin equipo,Staff,NA,NA,Hombre,34,Universitario,CABA,NA
2019,1,2019.1,BI Analyst / Data Analyst,Data Science / AI,NA,80000,11.289781913656018,NA,NA,25,19,10,0,Sin equipo,Staff,NA,NA,Hombre,48,Terciario,CABA,NA
2019,1,2019.1,Business Analyst,Analytics / Automation,NA,48500,10.789319076925574,NA,NA,7,1,3,0,Sin equipo,Staff,NA,NA,Hombre,27,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,38700,10.563594879017874,NA,NA,18,0,0,0,Sin equipo,Staff,NA,NA,Hombre,38,Terciario,CABA,NA
2019,1,2019.1,BI Analyst / Data Analyst,Data Science / AI,NA,50000,10.819778284410283,NA,NA,1,1,0,0,Sin equipo,Staff,NA,NA,Mujer,33,Universitario,CABA,NA
2019,1,2019.1,Infosec,Governance / Security,NA,103000,11.542484267211773,NA,NA,7,2,1,3,Equipo pequeño,Staff,NA,NA,Hombre,30,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,55000,10.915088464214607,NA,NA,6,6,6,0,Sin equipo,Staff,NA,NA,Hombre,28,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,35100,10.465956409453957,NA,NA,8,2,2,0,Sin equipo,Staff,NA,NA,Hombre,30,Secundario,CABA,NA
2019,1,2019.1,Business Analyst,Analytics / Automation,NA,30000,10.308952660644293,NA,NA,3,3,1,0,Sin equipo,Staff,NA,NA,Hombre,25,Universitario,CABA,NA
2019,1,2019.1,Business Analyst,Analytics / Automation,NA,55000,10.915088464214607,NA,NA,30,0,0,0,Sin equipo,Staff,NA,NA,Hombre,48,Terciario,CABA,NA
2019,1,2019.1,BI Analyst / Data Analyst,Data Science / AI,NA,52000,10.858998997563564,NA,NA,15,7,3,2,Equipo pequeño,Staff,NA,NA,Hombre,37,Secundario,CABA,NA
2019,1,2019.1,DBA,Data Platform / MLOps,NA,46800,10.753638481905739,NA,NA,7,2,1,0,Sin equipo,Staff,NA,NA,Hombre,27,Secundario,CABA,NA
2019,1,2019.1,BI Analyst / Data Analyst,Data Science / AI,NA,35000,10.46310334047155,NA,NA,11,1,2,2,Equipo pequeño,Staff,NA,NA,Hombre,36,Terciario,CABA,NA
2019,1,2019.1,BI Analyst / Data Analyst,Data Science / AI,NA,48000,10.778956289890028,NA,NA,10,0,4,0,Sin equipo,Tercerizado,NA,NA,Hombre,31,Terciario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,94000,11.451050061252142,NA,NA,24,14,8,6,Equipo mediano,Staff,NA,NA,Hombre,40,Secundario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,52000,10.858998997563564,NA,NA,12,6,5,0,Sin equipo,Staff,NA,NA,Hombre,37,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,102000,11.532728092266408,NA,NA,9,4,4,0,Sin equipo,Staff,NA,NA,Hombre,28,Secundario,CABA,NA
2019,1,2019.1,Infosec,Governance / Security,NA,67000,11.112447898373103,NA,NA,10,0,0,0,Sin equipo,Staff,NA,NA,Hombre,31,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,64000,11.06663836234181,NA,NA,16,6,4,0,Sin equipo,Staff,NA,NA,Hombre,35,Secundario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,62000,11.03488966402723,NA,NA,10,1,1,0,Sin equipo,Staff,NA,NA,Hombre,31,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,76000,11.238488619268468,NA,NA,6,2,2,1,Equipo pequeño,Staff,NA,NA,Hombre,27,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,38000,10.545341438708522,NA,NA,15,3,3,0,Sin equipo,Staff,NA,NA,Hombre,35,Secundario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,53000,10.87804719253426,NA,NA,4,1,2,0,Sin equipo,Staff,NA,NA,Hombre,23,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,70000,11.156250521031495,NA,NA,11,1,0,0,Sin equipo,Staff,NA,NA,Hombre,31,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,35508,10.47751330218821,NA,NA,8,8,8,0,Sin equipo,Staff,NA,NA,Hombre,26,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,42000,10.645424897265505,NA,NA,10,12,9,0,Sin equipo,Staff,NA,NA,Hombre,38,Terciario,CABA,NA
2019,1,2019.1,DBA,Data Platform / MLOps,NA,440000,12.994530005894443,NA,NA,20,2,1,4,Equipo pequeño,Contractor,NA,NA,Hombre,35,Terciario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,37000,10.51867319162636,NA,NA,10,2,2,1,Equipo pequeño,Staff,NA,NA,Hombre,30,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,27388,10.217860240240954,NA,NA,9,9,6,0,Sin equipo,Staff,NA,NA,Hombre,30,Secundario,CABA,NA
2019,1,2019.1,Business Analyst,Analytics / Automation,NA,87500,11.379394072345706,NA,NA,16,7,7,0,Sin equipo,Staff,NA,NA,Hombre,39,Universitario,CABA,NA
2019,1,2019.1,Infosec,Governance / Security,NA,34000,10.4341158035983,NA,NA,3,5,3,0,Sin equipo,Staff,NA,NA,Hombre,34,Universitario,CABA,NA
2019,1,2019.1,Infosec,Governance / Security,NA,100000,11.512925464970229,NA,NA,14,10,10,0,Sin equipo,Staff,NA,NA,Hombre,38,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,90000,11.407564949312402,NA,NA,17,17,17,1,Equipo pequeño,Staff,NA,NA,Hombre,40,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,77145,11.253442046877126,NA,NA,12,3,3,0,Sin equipo,Staff,NA,NA,Hombre,34,Universitario,CABA,NA
2019,1,2019.1,Infosec,Governance / Security,NA,27000,10.203592144986466,NA,NA,3,2,1,0,Sin equipo,Otro,NA,NA,Hombre,25,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,55000,10.915088464214607,NA,NA,20,3,1,0,Sin equipo,Staff,NA,NA,Hombre,41,Terciario,CABA,NA
2019,1,2019.1,BI Analyst / Data Analyst,Data Science / AI,NA,49000,10.799575577092764,NA,NA,6,3,2,3,Equipo pequeño,Staff,NA,NA,Hombre,31,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,75000,11.225243392518447,NA,NA,8,0,5,0,Sin equipo,Staff,NA,NA,Hombre,32,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,46509,10.747401121234471,NA,NA,25,11,11,0,Sin equipo,Staff,NA,NA,Hombre,49,Universitario,CABA,NA
2019,1,2019.1,Business Analyst,Analytics / Automation,NA,51000,10.839580911706463,NA,NA,33,1,13,4,Equipo pequeño,Staff,NA,NA,Hombre,50,Terciario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,14000,9.546812608597396,NA,NA,0,0,0,0,Sin equipo,Otro,NA,NA,Hombre,22,Universitario,CABA,NA
2019,1,2019.1,Business Analyst,Analytics / Automation,NA,28000,10.239959789157341,NA,NA,5,0,5,0,Sin equipo,Staff,NA,NA,Mujer,22,Universitario,CABA,NA
2019,1,2019.1,Business Analyst,Analytics / Automation,NA,47000,10.757902880692196,NA,NA,3,0,0,0,Sin equipo,Staff,NA,NA,Hombre,28,Universitario,CABA,NA
2019,1,2019.1,BI Analyst / Data Analyst,Data Science / AI,NA,63000,11.05089000537367,NA,NA,10,0,3,0,Sin equipo,Staff,NA,NA,Mujer,30,Universitario,CABA,NA
2019,1,2019.1,BI Analyst / Data Analyst,Data Science / AI,NA,30000,10.308952660644293,NA,NA,1,1,1,1,Equipo pequeño,Tercerizado,NA,NA,Hombre,22,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,53562,10.888595140407418,NA,NA,8,4,4,0,Sin equipo,Staff,NA,NA,Hombre,34,Terciario,CABA,NA
2019,1,2019.1,DBA,Data Platform / MLOps,NA,70000,11.156250521031495,NA,NA,10,10,10,7,Equipo mediano,Staff,NA,NA,Hombre,40,Posgrado/Especialización,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,60000,11.002099841204238,NA,NA,17,1,7,1,Equipo pequeño,Staff,NA,NA,Hombre,38,Universitario,CABA,NA
2019,1,2019.1,Business Analyst,Analytics / Automation,NA,42000,10.645424897265505,NA,NA,9,1,1,0,Sin equipo,Staff,NA,NA,Hombre,42,Posgrado/Especialización,CABA,NA
2019,1,2019.1,BI Analyst / Data Analyst,Data Science / AI,NA,25000,10.126631103850338,NA,NA,1,0,0,0,Sin equipo,Staff,NA,NA,Hombre,25,Universitario,CABA,NA
